Source Title,Scopus Source ID,MCQ,p_issn,e_issn,Top 10%,10% - 35%,35% - 60%,60% - 80%,Bottom 20%
ACM Transactions on Computation Theory,19700166602,"0,549450549450549",19423454,19423462,6,1,0,NO 60% - 80%,NO Bottom 20%
ACM Transactions on Computational Logic,23051,"0,520958083832335",15293785,1557945X,NO Top 10%,1,0,NO 60% - 80%,NO Bottom 20%
AI Communications,23617,"0,0662983425414364",09217126,0,NO Top 10%,NO 10% - 35%,NO 35% - 60%,2,0
Acta Cybernetica,13024,"0,136842105263158",0324721X,0,NO Top 10%,NO 10% - 35%,18,1,0
Acta Mathematica,24527,"3,98461538461538",00015962,18712509,1,0,NO 35% - 60%,NO 60% - 80%,NO Bottom 20%
Acta Mathematica Hungarica,24529,"0,462121212121212",02365294,15882632,NO Top 10%,1,0,NO 60% - 80%,NO Bottom 20%
"Acta Mathematica Sinica, English Series",24533,"0,40922619047619",14398516,14397617,NO Top 10%,2,0,NO 60% - 80%,NO Bottom 20%
Acta Mathematica Universitatis Comenianae,76019,"0,129496402877698",08629544,13360310,NO Top 10%,NO 10% - 35%,35,1,0
Acta Mathematica Vietnamica,21100199843,"0,384615384615385",02514184,0,NO Top 10%,3,0,NO 60% - 80%,NO Bottom 20%
Advances in Mathematics,24570,"1,65162644281217",00018708,10902082,1,0,NO 35% - 60%,NO 60% - 80%,NO Bottom 20%
Afrika Matematika,21100228566,"0,142300194931774",10129405,21907668,NO Top 10%,NO 10% - 35%,13,1,0
Algebra Universalis,24618,"0,436065573770492",00025240,14208911,NO Top 10%,2,0,NO 60% - 80%,NO Bottom 20%
Algebra and Discrete Mathematics,21100206241,"0,179824561403509",17263255,0,NO Top 10%,NO 10% - 35%,4,0,NO Bottom 20%
Algebra and Logic,144635,"0,224215246636771",00025232,15738302,NO Top 10%,NO 10% - 35%,2,0,NO Bottom 20%
American Mathematical Monthly,24656,"0,233024691358025",00029890,19300972,NO Top 10%,NO 10% - 35%,2,0,NO Bottom 20%
Analele Stiintifice ale Universitatii Al I Cuza din Iasi - Matematica,19700175303,"0,100401606425703",12218421,0,NO Top 10%,NO 10% - 35%,NO 35% - 60%,1,0
"Analele Stiintifice ale Universitatii Ovidius Constanta, Seria Matematica",19700175586,"0,225563909774436",12241784,18440835,NO Top 10%,NO 10% - 35%,2,0,NO Bottom 20%
Annales Polonici Mathematici,20900195109,"0,397260273972603",00662216,17306272,NO Top 10%,2,0,NO 60% - 80%,NO Bottom 20%
Annals of Mathematics,24721,"5,25358851674641",0003486X,19398980,1,0,NO 35% - 60%,NO 60% - 80%,NO Bottom 20%
Annals of Mathematics and Artificial Intelligence,23670,"0,194690265486726",10122443,15737470,NO Top 10%,NO 10% - 35%,3,0,NO Bottom 20%
Annals of Pure and Applied Logic,24726,"0,753753753753754",01680072,0,2,0,NO 35% - 60%,NO 60% - 80%,NO Bottom 20%
"Annals of the University of Craiova, Mathematics and Computer Science Series",21100199784,"0,0661157024793388",12236934,22469958,NO Top 10%,NO 10% - 35%,NO 35% - 60%,2,0
Applied Categorical Structures,28049,"0,526748971193416",09272852,15729095,49,1,0,NO 60% - 80%,NO Bottom 20%
Applied Mathematics E - Notes,25182,"0,102564102564102",16072510,16072510,NO Top 10%,NO 10% - 35%,NO 35% - 60%,1,0
Applied and Computational Mathematics,19200156958,"0,530769230769231",16833511,0,14,1,0,NO 60% - 80%,NO Bottom 20%
Archive for Mathematical Logic,25207,"0,419847328244275",09335846,14320665,NO Top 10%,2,0,NO 60% - 80%,NO Bottom 20%
Artificial Intelligence,23675,"0,355685131195335",00043702,0,NO Top 10%,3,0,NO 60% - 80%,NO Bottom 20%
Asian-European Journal of Mathematics,21100198431,"0,15839243498818",17935571,17937183,NO Top 10%,NO 10% - 35%,6,1,0
Azerbaijan Journal of Mathematics,21100285045,"0,231481481481481",22186816,22219501,NO Top 10%,NO 10% - 35%,2,0,NO Bottom 20%
Bolletino dell Unione Matematica Italiana,11300153723,"0,5",19726724,21982759,NO Top 10%,1,0,NO 60% - 80%,NO Bottom 20%
British Journal for the Philosophy of Science,19977,"0,0254237288135593",00070882,14643537,NO Top 10%,NO 10% - 35%,NO 35% - 60%,7,0
